time union1 union2 union3
0.181, -64.3596, 51.9184, 54.089
0.182, -64.3571, 51.9231, 54.083
0.183, -64.3545, 51.9278, 54.077
0.184, -64.3519, 51.9325, 54.071
0.185, -64.3493, 51.9372, 54.065
0.186, -64.3467, 51.942, 54.059
0.187, -64.3442, 51.9467, 54.053
0.188, -64.3416, 51.9515, 54.047
0.189, -64.339, 51.9563, 54.0409
0.19, -64.3364, 51.9611, 54.0349
0.191, -64.3338, 51.9659, 54.0288
0.192, -64.3312, 51.9707, 54.0228
0.193, -64.3287, 51.9755, 54.0167
0.194, -64.3261, 51.9804, 54.0107
0.195, -64.3235, 51.9853, 54.0046
0.196, -64.3209, 51.9902, 53.9985
0.197, -64.3183, 51.9951, 53.9924
0.198, -64.3157, 52, 53.9863
0.199, -64.3131, 52.0049, 53.9802
0.2, -64.3106, 52.0099, 53.9741
0.201, -64.308, 52.0148, 53.968
0.202, -64.3054, 52.0198, 53.9618
0.203, -64.3028, 52.0248, 53.9557
0.204, -64.3002, 52.0298, 53.9496
0.205, -64.2976, 52.0349, 53.9434
0.206, -64.295, 52.0399, 53.9373
0.207, -64.2924, 52.045, 53.9311
0.208, -64.2898, 52.05, 53.9249
0.209, -64.2873, 52.0551, 53.9188
0.21, -64.2847, 52.0602, 53.9126
0.211, -64.2821, 52.0653, 53.9064
0.212, -64.2795, 52.0705, 53.9002
0.213, -64.2769, 52.0756, 53.894
0.214, -64.2743, 52.0808, 53.8877
0.215, -64.2717, 52.086, 53.8815
0.216, -64.2691, 52.0912, 53.8753
0.217, -64.2665, 52.0964, 53.8691
0.218, -64.2639, 52.1016, 53.8628
0.219, -64.2613, 52.1068, 53.8566
0.22, -64.2587, 52.1121, 53.8503
0.221, -64.2561, 52.1174, 53.844
0.222, -64.2535, 52.1227, 53.8378
0.223, -64.2509, 52.128, 53.8315
0.224, -64.2483, 52.1333, 53.8252
0.225, -64.2457, 52.1386, 53.8189
0.226, -64.2431, 52.144, 53.8126
0.227, -64.2405, 52.1493, 53.8063
0.228, -64.2379, 52.1547, 53.8
0.229, -64.2353, 52.1601, 53.7936
0.23, -64.2327, 52.1655, 53.7873
0.231, -64.2301, 52.171, 53.781
0.232, -64.2275, 52.1764, 53.7746
0.233, -64.2249, 52.1818, 53.7683
0.234, -64.2223, 52.1873, 53.7619
0.235, -64.2197, 52.1928, 53.7556
0.236, -64.2171, 52.1983, 53.7492
0.237, -64.2145, 52.2038, 53.7428
0.238, -64.2119, 52.2094, 53.7364
0.239, -64.2093, 52.2149, 53.73
0.24, -64.2067, 52.2205, 53.7236
0.241, -64.2041, 52.2261, 53.7172
0.242, -64.2015, 52.2317, 53.7108
0.243, -64.1988, 52.2373, 53.7043
0.244, -64.1962, 52.2429, 53.6979
