time union1 union2 union3
0, 90, -nan, -nan
0.324999, -35.9562, 84.1886, 22.5725
0.325999, -36.1349, 84.1296, 22.6414
0.326999, -36.3118, 84.0709, 22.7101
0.327999, -36.4869, 84.0123, 22.7787
0.328999, -36.66, 83.954, 22.8471
0.329999, -36.8315, 83.896, 22.9153
0.330999, -37.0012, 83.8382, 22.9834
0.331999, -37.1692, 83.7805, 23.0514
0.332999, -37.3355, 83.7231, 23.1192
0.333999, -37.5002, 83.6658, 23.1868
0.334999, -37.6632, 83.6089, 23.2542
0.335999, -37.8246, 83.5521, 23.3215
0.336999, -37.9843, 83.4956, 23.3886
0.337999, -38.1424, 83.4394, 23.4555
0.338999, -38.2991, 83.3832, 23.5223
0.339999, -38.4541, 83.3273, 23.5888
0.340999, -38.6076, 83.2716, 23.6553
0.341999, -38.7597, 83.2162, 23.7215
0.342999, -38.9102, 83.161, 23.7875
0.343999, -39.0593, 83.1061, 23.8534
0.344999, -39.207, 83.0513, 23.919
0.345999, -39.3532, 82.9967, 23.9846
0.346999, -39.4981, 82.9423, 24.0499
0.347999, -39.6415, 82.8883, 24.115
0.348999, -39.7836, 82.8344, 24.18
0.349999, -39.9243, 82.7808, 24.2447
0.350999, -40.0638, 82.7273, 24.3093
0.351999, -40.2019, 82.6739, 24.3738
0.352999, -40.3386, 82.621, 24.4379
0.353999, -40.4741, 82.5682, 24.5019
0.354999, -40.6084, 82.5156, 24.5657
0.355999, -40.7414, 82.4632, 24.6294
0.356999, -40.8732, 82.4111, 24.6928
0.357999, -41.0037, 82.3591, 24.7561
0.358999, -41.1331, 82.3074, 24.8191
0.359999, -41.2614, 82.2558, 24.8821
0.360999, -41.3883, 82.2045, 24.9447
0.361999, -41.5142, 82.1534, 25.0072
0.362999, -41.639, 82.1026, 25.0695
0.363999, -41.7625, 82.0519, 25.1316
0.364999, -41.885, 82.0014, 25.1935
0.365999, -42.0065, 81.9512, 25.2553
0.366999, -42.1268, 81.9011, 25.3168
0.367999, -42.246, 81.8512, 25.3782
0.368999, -42.3643, 81.8015, 25.4394
0.369999, -42.4814, 81.7521, 25.5003
0.370999, -42.5976, 81.7028, 25.5611
0.371999, -42.7127, 81.6538, 25.6217
0.372999, -42.8268, 81.605, 25.682
0.373999, -42.94, 81.5563, 25.7423
0.374999, -43.0521, 81.5078, 25.8023
