time x y z
0, -nan, -nan, -nan
0.288, 16.322, -4.38314, 1.07288e-06
0.289, 16.322, -4.43314, 3.69549e-06
0.29, 16.322, -4.48284, 2.02656e-06
0.291, 16.322, -4.5322, -2.02656e-06
0.292, 16.322, -4.58122, 2.98023e-06
0.293, 16.322, -4.62994, 9.53674e-07
0.294, 16.322, -4.67832, -1.66893e-06
0.295, 16.322, -4.7264, -4.76837e-07
0.296, 16.322, -4.77416, 2.14577e-06
0.297, 16.322, -4.82162, -2.38419e-06
0.298, 16.322, -4.86876, -2.02656e-06
0.299, 16.322, -4.91562, 2.02656e-06
0.3, 16.322, -4.96216, 2.74181e-06
0.301, 16.322, -5.00842, 1.07288e-06
0.302, 16.322, -5.05438, -9.53674e-07
0.303, 16.322, -5.10004, 1.19209e-06
0.304, 16.322, -5.14542, -9.53674e-07
0.305, 16.322, -5.19052, 3.57628e-07
0.306, 16.322, -5.23532, 2.02656e-06
0.307, 16.322, -5.27986, 3.57628e-07
0.308, 16.322, -5.32412, 7.15256e-07
0.309, 16.322, -5.3681, 4.76837e-07
0.31, 16.322, -5.4118, -3.09944e-06
0.311, 16.322, -5.45524, -1.90735e-06
0.312, 16.322, -5.49842, 2.74181e-06
0.313, 16.322, -5.54134, 2.5034e-06
0.314, 16.322, -5.58398, 0
0.314999, 16.322, -5.62638, 1.66893e-06
0.315999, 16.322, -5.6685, 1.43051e-06
0.316999, 16.322, -5.7104, -1.54972e-06
0.317999, 16.322, -5.75202, 1.07288e-06
0.318999, 16.322, -5.7934, 8.34465e-07
0.319999, 16.322, -5.83454, -2.38419e-07
0.320999, 16.322, -5.87542, -4.76837e-07
0.321999, 16.322, -5.91608, -2.5034e-06
0.322999, 16.322, -5.95648, 1.54972e-06
0.323999, 16.322, -5.99664, 4.76837e-07
0.324999, 16.322, -6.03658, -1.66893e-06
0.325999, 16.322, -6.07628, 1.43051e-06
0.326999, 16.322, -6.11576, 1.3113e-06
0.327999, 16.322, -6.155, -3.57628e-07
0.328999, 16.322, -6.194, 0
0.329999, 16.322, -6.2328, -1.19209e-06
0.330999, 16.322, -6.27136, -8.34465e-07
0.331999, 16.322, -6.3097, 1.3113e-06
0.332999, 16.322, -6.34782, 7.15256e-07
0.333999, 16.322, -6.38574, 1.90735e-06
0.334999, 16.322, -6.42344, 3.21865e-06
0.335999, 16.322, -6.46092, 1.54972e-06
0.336999, 16.322, -6.49818, 3.8147e-06
0.337999, 16.322, -6.53524, 3.09944e-06
0.338999, 16.322, -6.5721, -8.34465e-07
0.339999, 16.322, -6.60874, 1.3113e-06
0.340999, 16.322, -6.64518, 3.09944e-06
0.341999, 16.322, -6.68142, -3.57628e-07
0.342999, 16.322, -6.71746, 2.26498e-06
0.343999, 16.322, -6.7533, 4.52995e-06
0.344999, 16.322, -6.78894, -4.76837e-07
0.345999, 16.322, -6.8244, -1.54972e-06
0.346999, 16.322, -6.85966, 1.19209e-06
0.347999, 16.322, -6.89472, 1.43051e-06
0.348999, 16.322, -6.9296, 3.57628e-07
0.349999, 16.322, -6.96428, 1.07288e-06
0.350999, 16.322, -6.99878, -2.86102e-06
0.351999, 16.322, -7.0331, -5.96046e-07
0.352999, 16.322, -7.06722, 1.07288e-06
0.353999, 16.322, -7.10116, 9.53674e-07
0.354999, 16.322, -7.13494, 2.74181e-06
0.355999, 16.322, -7.16852, -1.78814e-06
0.356999, 16.322, -7.20194, 0
0.357999, 16.322, -7.23516, 1.3113e-06
0.358999, 16.322, -7.26822, -8.34465e-07
0.359999, 16.322, -7.30112, 4.76837e-07
0.360999, 16.322, -7.33382, 3.69549e-06
0.361999, 16.322, -7.36636, -1.78814e-06
0.362999, 16.322, -7.39874, 9.53674e-07
0.363999, 16.322, -7.43094, 4.17233e-06
0.364999, 16.322, -7.46298, 1.66893e-06
0.365999, 16.322, -7.49486, -1.90735e-06
0.366999, 16.322, -7.52658, -1.54972e-06
0.367999, 16.322, -7.55812, 4.05312e-06
0.368999, 16.322, -7.58952, 5.96046e-07
0.369999, 16.322, -7.62074, -2.02656e-06
0.370999, 16.322, -7.65182, -2.14577e-06
0.371999, 16.322, -7.68274, 1.19209e-07
0.372999, 16.322, -7.7135, 4.76837e-07
0.373999, 16.322, -7.7441, 1.19209e-06
0.374999, 16.322, -7.77454, -8.34465e-07
0.375999, 16.322, -7.80484, 1.43051e-06
0.376999, 16.322, -7.835, 3.57628e-07
0.377999, 16.322, -7.865, 3.09944e-06
0.378999, 16.322, -7.89484, -1.78814e-06
0.379999, 16.322, -7.92454, 3.69549e-06
0.380999, 16.322, -7.9541, -2.14577e-06
0.381999, 16.322, -7.98352, 1.54972e-06
0.382999, 16.322, -8.01278, -1.43051e-06
0.383999, 16.322, -8.0419, 2.26498e-06
0.384999, 16.322, -8.07088, 1.19209e-06
0.385999, 16.322, -8.09972, -2.26498e-06
0.386999, 16.322, -8.12842, 4.17233e-06
0.387999, 16.322, -8.157, 2.14577e-06
0.388999, 16.322, -8.18542, -1.3113e-06
0.389999, 16.322, -8.21372, 9.53674e-07
0.390999, 16.322, -8.24186, -1.07288e-06
0.391998, 16.322, -8.26988, 1.19209e-06
0.392998, 16.322, -8.29778, 1.54972e-06
0.393998, 16.322, -8.32554, -4.76837e-07
0.394998, 16.322, -8.35316, 1.78814e-06
0.395998, 16.322, -8.38066, 1.19209e-06
0.396998, 16.322, -8.40802, 1.54972e-06
0.397998, 16.322, -8.43526, 9.53674e-07
0.398998, 16.322, -8.46236, 8.34465e-07
0.399998, 16.322, -8.48934, -1.66893e-06
0.400998, 16.322, -8.5162, -1.3113e-06
0.401998, 16.322, -8.54294, 9.53674e-07
0.402998, 16.322, -8.56954, 2.74181e-06
0.403998, 16.322, -8.59604, 3.09944e-06
0.404998, 16.322, -8.6224, -8.34465e-07
0.405998, 16.322, -8.64864, 4.76837e-07
0.406998, 16.322, -8.67478, -5.96046e-07
0.407998, 16.322, -8.70078, 1.19209e-06
0.408998, 16.322, -8.72666, 1.19209e-07
0.409998, 16.322, -8.75244, 4.76837e-07
0.410998, 16.322, -8.77808, -5.96046e-07
0.411998, 16.322, -8.80362, -1.66893e-06
0.412998, 16.322, -8.82906, 1.19209e-07
0.413998, 16.322, -8.85436, 1.90735e-06
0.414998, 16.322, -8.87956, 1.3113e-06
0.415998, 16.322, -8.90464, 3.57628e-07
0.416998, 16.322, -8.92962, -1.66893e-06
0.417998, 16.322, -8.95448, 1.07288e-06
0.418998, 16.322, -8.97922, 4.76837e-07
0.419998, 16.322, -9.00386, -5.96046e-07
0.420998, 16.322, -9.0284, 1.66893e-06
0.421998, 16.322, -9.05282, 5.96046e-07
0.422998, 16.322, -9.07714, 0
0.423998, 16.322, -9.10136, 1.43051e-06
0.424998, 16.322, -9.12548, -2.98023e-06
0.425998, 16.322, -9.14948, 2.6226e-06
0.426998, 16.322, -9.17338, 1.19209e-07
0.427998, 16.322, -9.19718, 2.38419e-06
0.428998, 16.322, -9.22086, 1.78814e-06
0.429998, 16.322, -9.24446, 1.78814e-06
0.430998, 16.322, -9.26794, 2.38419e-07
0.431998, 16.322, -9.29134, -1.3113e-06
0.432998, 16.322, -9.31464, 9.53674e-07
0.433998, 16.322, -9.33782, 0
0.434998, 16.322, -9.36092, -5.96046e-07
0.435998, 16.322, -9.38392, -7.15256e-07
0.436998, 16.322, -9.40682, -3.21865e-06
0.437998, 16.322, -9.42962, 2.5034e-06
0.438998, 16.322, -9.45232, 0
0.439998, 16.322, -9.47494, -1.07288e-06
0.440998, 16.322, -9.49746, 1.66893e-06
0.441998, 16.322, -9.51988, 2.6226e-06
0.442998, 16.322, -9.54222, -3.57628e-07
0.443998, 16.322, -9.56446, -1.43051e-06
0.444998, 16.322, -9.5866, 4.76837e-07
0.445998, 16.322, -9.60866, 2.26498e-06
0.446998, 16.322, -9.63062, 3.09944e-06
0.447998, 16.322, -9.6525, 1.19209e-07
0.448998, 16.322, -9.67428, 1.54972e-06
0.449998, 16.322, -9.69598, -2.38419e-06
0.450998, 16.322, -9.71758, -1.43051e-06
0.451998, 16.322, -9.7391, 1.78814e-06
0.452998, 16.322, -9.76054, -1.19209e-06
0.453998, 16.322, -9.78188, 2.14577e-06
0.454998, 16.322, -9.80316, 2.5034e-06
0.455998, 16.322, -9.82432, -4.76837e-07
0.456998, 16.322, -9.84542, 0
0.457998, 16.322, -9.86642, 3.21865e-06
0.458998, 16.322, -9.88734, -1.19209e-07
0.459998, 16.322, -9.90818, 2.14577e-06
0.460998, 16.322, -9.92894, 1.54972e-06
0.461998, 16.322, -9.94962, -8.34465e-07
0.462998, 16.322, -9.97022, -2.38419e-06
0.463998, 16.322, -9.99074, 4.76837e-07
0.464998, 16.322, -10.0112, -1.07288e-06
0.465998, 16.322, -10.0315, -5.96046e-07
0.466998, 16.322, -10.0518, 2.38419e-07
0.467998, 16.322, -10.072, -2.38419e-07
0.468998, 16.322, -10.0921, -3.57628e-07
0.469997, 16.322, -10.1121, 3.93391e-06
0.470997, 16.322, -10.1321, 0
0.471997, 16.322, -10.152, -9.53674e-07
0.472997, 16.322, -10.1718, -2.98023e-06
0.473997, 16.322, -10.1915, 1.3113e-06
0.474997, 16.322, -10.2112, -7.15256e-07
0.475997, 16.322, -10.2307, 2.38419e-07
0.476997, 16.322, -10.2503, 1.19209e-07
0.477997, 16.322, -10.2697, 5.96046e-07
0.478997, 16.322, -10.289, -1.43051e-06
0.479997, 16.322, -10.3083, -4.76837e-07
0.480997, 16.322, -10.3275, -5.96046e-07
0.481997, 16.322, -10.3467, 8.34465e-07
0.482997, 16.322, -10.3657, 1.78814e-06
0.483997, 16.322, -10.3847, 1.19209e-06
0.484997, 16.322, -10.4037, 1.19209e-06
0.485997, 16.322, -10.4225, -3.57628e-07
0.486997, 16.322, -10.4413, -3.57628e-07
0.487997, 16.322, -10.46, -1.78814e-06
0.488997, 16.322, -10.4787, 2.38419e-06
0.489997, 16.322, -10.4972, 0
0.490997, 16.322, -10.5157, 4.76837e-07
0.491997, 16.322, -10.5342, -2.98023e-06
0.492997, 16.322, -10.5525, 2.26498e-06
0.493997, 16.322, -10.5709, -2.38419e-07
0.494997, 16.322, -10.5891, -7.15256e-07
0.495997, 16.322, -10.6073, 1.66893e-06
0.496997, 16.322, -10.6254, 3.93391e-06
0.497997, 16.322, -10.6434, 2.02656e-06
0.498997, 16.322, -10.6614, 3.45707e-06
0.499997, 16.322, -10.6793, -3.57628e-07
