time x y z
0, -nan, -nan, -nan
0.362999, -9.322, 12.5494, 1.95637
0.363999, -9.322, 12.5655, 1.95613
0.364999, -9.322, 12.5815, 1.95589
0.365999, -9.322, 12.5974, 1.95565
0.366999, -9.322, 12.6133, 1.95541
0.367999, -9.322, 12.6291, 1.95516
0.368999, -9.322, 12.6448, 1.95492
0.369999, -9.322, 12.6604, 1.95468
0.370999, -9.322, 12.6759, 1.95443
0.371999, -9.322, 12.6914, 1.95419
0.372999, -9.322, 12.7068, 1.95395
0.373999, -9.322, 12.7221, 1.9537
0.374999, -9.322, 12.7373, 1.95345
0.375999, -9.322, 12.7524, 1.95321
0.376999, -9.322, 12.7675, 1.95296
0.377999, -9.322, 12.7825, 1.95271
0.378999, -9.322, 12.7974, 1.95246
0.379999, -9.322, 12.8123, 1.95221
0.380999, -9.322, 12.8271, 1.95196
0.381999, -9.322, 12.8418, 1.95171
0.382999, -9.322, 12.8564, 1.95146
0.383999, -9.322, 12.8709, 1.95121
0.384999, -9.322, 12.8854, 1.95096
0.385999, -9.322, 12.8999, 1.9507
0.386999, -9.322, 12.9142, 1.95045
0.387999, -9.322, 12.9285, 1.9502
0.388999, -9.322, 12.9427, 1.94994
0.389999, -9.322, 12.9569, 1.94968
0.390999, -9.322, 12.9709, 1.94943
0.391998, -9.322, 12.9849, 1.94917
0.392998, -9.322, 12.9989, 1.94891
0.393998, -9.322, 13.0128, 1.94866
0.394998, -9.322, 13.0266, 1.9484
0.395998, -9.322, 13.0403, 1.94814
0.396998, -9.322, 13.054, 1.94788
0.397998, -9.322, 13.0676, 1.94762
0.398998, -9.322, 13.0812, 1.94735
0.399998, -9.322, 13.0947, 1.94709
0.400998, -9.322, 13.1081, 1.94683
0.401998, -9.322, 13.1215, 1.94657
0.402998, -9.322, 13.1348, 1.9463
0.403998, -9.322, 13.148, 1.94604
0.404998, -9.322, 13.1612, 1.94577
0.405998, -9.322, 13.1743, 1.94551
0.406998, -9.322, 13.1874, 1.94524
0.407998, -9.322, 13.2004, 1.94497
0.408998, -9.322, 13.2133, 1.9447
0.409998, -9.322, 13.2262, 1.94444
0.410998, -9.322, 13.239, 1.94417
0.411998, -9.322, 13.2518, 1.9439
0.412998, -9.322, 13.2645, 1.94363
0.413998, -9.322, 13.2772, 1.94336
0.414998, -9.322, 13.2898, 1.94308
0.415998, -9.322, 13.3023, 1.94281
0.416998, -9.322, 13.3148, 1.94254
0.417998, -9.322, 13.3272, 1.94227
0.418998, -9.322, 13.3396, 1.94199
0.419998, -9.322, 13.3519, 1.94172
0.420998, -9.322, 13.3642, 1.94144
0.421998, -9.322, 13.3764, 1.94117
0.422998, -9.322, 13.3886, 1.94089
0.423998, -9.322, 13.4007, 1.94061
0.424998, -9.322, 13.4127, 1.94033
0.425998, -9.322, 13.4247, 1.94006
0.426998, -9.322, 13.4367, 1.93978
0.427998, -9.322, 13.4486, 1.9395
0.428998, -9.322, 13.4604, 1.93922
0.429998, -9.322, 13.4722, 1.93893
0.430998, -9.322, 13.484, 1.93865
0.431998, -9.322, 13.4957, 1.93837
0.432998, -9.322, 13.5073, 1.93809
0.433998, -9.322, 13.5189, 1.9378
0.434998, -9.322, 13.5305, 1.93752
0.435998, -9.322, 13.542, 1.93723
0.436998, -9.322, 13.5534, 1.93695
0.437998, -9.322, 13.5648, 1.93666
0.438998, -9.322, 13.5762, 1.93638
0.439998, -9.322, 13.5875, 1.93609
0.440998, -9.322, 13.5987, 1.9358
0.441998, -9.322, 13.6099, 1.93551
0.442998, -9.322, 13.6211, 1.93522
0.443998, -9.322, 13.6322, 1.93493
0.444998, -9.322, 13.6433, 1.93464
0.445998, -9.322, 13.6543, 1.93435
0.446998, -9.322, 13.6653, 1.93406
0.447998, -9.322, 13.6763, 1.93377
